"","X.1","X","n_occurrence","latitude","longitude","city","occurrence_type","carteira","bolsa_ou_mochila","celular","documentos","notebook","tablet","mp4_ou_ipod","cartao_de_credito","outros","relogio","equipamento_de_som","tv","dvd","som","moveis","computador","estepe","bicicleta","dinheiro","date","time","suburb","nearby_location"
"23725",237,237,17807,-22.9010395,-43.1111208,"Niteroi","Roubo ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2013-11-20","22:30","Icaraí","Restaurante"
"23726",237,237,17807,-22.9010395,-43.1111208,"Niteroi","Roubo ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2013-11-20","22:30","Icaraí","Bar"
"2381",238,238,17855,-22.8985792,-43.1244843,"Niteroi","Roubo ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014-03-27","17:30","Ingá","Teatro"
"2382",238,238,17855,-22.8985792,-43.1244843,"Niteroi","Roubo ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014-03-27","17:30","Ingá","Restaurante"
"2383",238,238,17855,-22.8985792,-43.1244843,"Niteroi","Roubo ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014-03-27","17:30","Ingá","Quiosque"
"2384",238,238,17855,-22.8985792,-43.1244843,"Niteroi","Roubo ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014-03-27","17:30","Ingá","Ponto Turistico"
"2385",238,238,17855,-22.8985792,-43.1244843,"Niteroi","Roubo ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014-03-27","17:30","Ingá","Bar"
"2386",238,238,17855,-22.8985792,-43.1244843,"Niteroi","Roubo ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014-03-27","17:30","Ingá","Restaurante"
"2387",238,238,17855,-22.8985792,-43.1244843,"Niteroi","Roubo ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014-03-27","17:30","Ingá","Escola"
"2388",238,238,17855,-22.8985792,-43.1244843,"Niteroi","Roubo ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014-03-27","17:30","Ingá","Escola"
"2391",239,239,17991,-22.9036987,-43.1140883,"Niteroi","Roubo ",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014-04-06","21:15","Icaraí","Ponto Turistico"
"2392",239,239,17991,-22.9036987,-43.1140883,"Niteroi","Roubo ",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014-04-06","21:15","Icaraí","Restaurante"
"2393",239,239,17991,-22.9036987,-43.1140883,"Niteroi","Roubo ",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014-04-06","21:15","Icaraí","Banco"
"2394",239,239,17991,-22.9036987,-43.1140883,"Niteroi","Roubo ",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014-04-06","21:15","Icaraí","Super Mercado"
"2395",239,239,17991,-22.9036987,-43.1140883,"Niteroi","Roubo ",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014-04-06","21:15","Icaraí","Bar"
"2396",239,239,17991,-22.9036987,-43.1140883,"Niteroi","Roubo ",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014-04-06","21:15","Icaraí","Restaurante"
"2397",239,239,17991,-22.9036987,-43.1140883,"Niteroi","Roubo ",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014-04-06","21:15","Icaraí","Restaurante"
"2398",239,239,17991,-22.9036987,-43.1140883,"Niteroi","Roubo ",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014-04-06","21:15","Icaraí","Banco"
"2399",239,239,17991,-22.9036987,-43.1140883,"Niteroi","Roubo ",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014-04-06","21:15","Icaraí","Banco"
"23910",239,239,17991,-22.9036987,-43.1140883,"Niteroi","Roubo ",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014-04-06","21:15","Icaraí","Loja de Eletronicos"
"23911",239,239,17991,-22.9036987,-43.1140883,"Niteroi","Roubo ",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014-04-06","21:15","Icaraí","Bar"
"23912",239,239,17991,-22.9036987,-43.1140883,"Niteroi","Roubo ",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014-04-06","21:15","Icaraí","Bar"
"23913",239,239,17991,-22.9036987,-43.1140883,"Niteroi","Roubo ",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014-04-06","21:15","Icaraí","Posto de Gasolina"
"23914",239,239,17991,-22.9036987,-43.1140883,"Niteroi","Roubo ",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014-04-06","21:15","Icaraí","Restaurante"
"23915",239,239,17991,-22.9036987,-43.1140883,"Niteroi","Roubo ",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014-04-06","21:15","Icaraí","Banco"
"23916",239,239,17991,-22.9036987,-43.1140883,"Niteroi","Roubo ",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014-04-06","21:15","Icaraí","Banco"
"23917",239,239,17991,-22.9036987,-43.1140883,"Niteroi","Roubo ",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014-04-06","21:15","Icaraí","Restaurante"
"23918",239,239,17991,-22.9036987,-43.1140883,"Niteroi","Roubo ",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014-04-06","21:15","Icaraí","Restaurante"
"23919",239,239,17991,-22.9036987,-43.1140883,"Niteroi","Roubo ",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014-04-06","21:15","Icaraí","Banco"
"23920",239,239,17991,-22.9036987,-43.1140883,"Niteroi","Roubo ",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014-04-06","21:15","Icaraí","Super Mercado"
"23921",239,239,17991,-22.9036987,-43.1140883,"Niteroi","Roubo ",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014-04-06","21:15","Icaraí","Restaurante"
"23922",239,239,17991,-22.9036987,-43.1140883,"Niteroi","Roubo ",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014-04-06","21:15","Icaraí","Bar"
"240",240,240,18042,-22.8900748,-43.0971273,"Niteroi","Roubo ",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014-04-16","19:30","Pé Pequeno","Bar"
"2401",240,240,18042,-22.8900748,-43.0971273,"Niteroi","Roubo ",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014-04-16","19:30","Pé Pequeno","Bar"
"2402",240,240,18042,-22.8900748,-43.0971273,"Niteroi","Roubo ",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014-04-16","19:30","Pé Pequeno","Posto de Gasolina"
"2411",241,241,18070,-22.9034639,-43.1256266,"Niteroi","Furto ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014-03-25","19:45","Boa Viagem","Bar"
"2412",241,241,18070,-22.9034639,-43.1256266,"Niteroi","Furto ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014-03-25","19:45","Boa Viagem","Escola"
"2421",242,242,18089,-22.9146197,-43.0947912,"Niteroi","Roubo ",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014-04-20","00:00","São Francisco","Hospital"
"2422",242,242,18089,-22.9146197,-43.0947912,"Niteroi","Roubo ",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014-04-20","00:00","São Francisco","Escola"
"2423",242,242,18089,-22.9146197,-43.0947912,"Niteroi","Roubo ",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014-04-20","00:00","São Francisco","Restaurante"
"2424",242,242,18089,-22.9146197,-43.0947912,"Niteroi","Roubo ",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014-04-20","00:00","São Francisco","Bar"
"2425",242,242,18089,-22.9146197,-43.0947912,"Niteroi","Roubo ",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014-04-20","00:00","São Francisco","Restaurante"
"2426",242,242,18089,-22.9146197,-43.0947912,"Niteroi","Roubo ",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014-04-20","00:00","São Francisco","Restaurante"
"2431",243,243,18100,-22.8863661,-43.079304,"Niteroi","Furto ",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014-04-20","12:00","Fonseca",""
"2441",244,244,18105,-22.9074054,-43.1012834,"Niteroi","Roubo ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2013-06-04","22:00","Vital Brazil","Hospital"
"2442",244,244,18105,-22.9074054,-43.1012834,"Niteroi","Roubo ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2013-06-04","22:00","Vital Brazil","Escola"
"2443",244,244,18105,-22.9074054,-43.1012834,"Niteroi","Roubo ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2013-06-04","22:00","Vital Brazil","Restaurante"
"2444",244,244,18105,-22.9074054,-43.1012834,"Niteroi","Roubo ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2013-06-04","22:00","Vital Brazil","Restaurante"
"2445",244,244,18105,-22.9074054,-43.1012834,"Niteroi","Roubo ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2013-06-04","22:00","Vital Brazil","Policia Civil"
"2451",245,245,18106,-22.9034554,-43.1264201,"Niteroi","Assalto a grupo ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2013-01-10","19:00","Boa Viagem","Bar"
"2452",245,245,18106,-22.9034554,-43.1264201,"Niteroi","Assalto a grupo ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2013-01-10","19:00","Boa Viagem","Escola"
"2461",246,246,18108,-22.8948851,-43.112943,"Niteroi","Roubo ",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014-04-20","20:15","Centro","Universidade"
"2462",246,246,18108,-22.8948851,-43.112943,"Niteroi","Roubo ",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014-04-20","20:15","Centro","Escola"
"2463",246,246,18108,-22.8948851,-43.112943,"Niteroi","Roubo ",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014-04-20","20:15","Centro","Escola"
"2464",246,246,18108,-22.8948851,-43.112943,"Niteroi","Roubo ",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014-04-20","20:15","Centro","Escola"
"2465",246,246,18108,-22.8948851,-43.112943,"Niteroi","Roubo ",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014-04-20","20:15","Centro","Super Mercado"
"2471",247,247,18112,-22.8910221,-43.1251114,"Niteroi","Assalto a grupo ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2013-07-11","18:00","Centro","Quiosque"
"2472",247,247,18112,-22.8910221,-43.1251114,"Niteroi","Assalto a grupo ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2013-07-11","18:00","Centro","Restaurante"
"2473",247,247,18112,-22.8910221,-43.1251114,"Niteroi","Assalto a grupo ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2013-07-11","18:00","Centro","Loja de Eletronicos"
"2474",247,247,18112,-22.8910221,-43.1251114,"Niteroi","Assalto a grupo ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2013-07-11","18:00","Centro","Universidade"
"2475",247,247,18112,-22.8910221,-43.1251114,"Niteroi","Assalto a grupo ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2013-07-11","18:00","Centro","Banco"
"2476",247,247,18112,-22.8910221,-43.1251114,"Niteroi","Assalto a grupo ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2013-07-11","18:00","Centro","Restaurante"
"2477",247,247,18112,-22.8910221,-43.1251114,"Niteroi","Assalto a grupo ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2013-07-11","18:00","Centro","Restaurante"
"2478",247,247,18112,-22.8910221,-43.1251114,"Niteroi","Assalto a grupo ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2013-07-11","18:00","Centro","Banco"
"2479",247,247,18112,-22.8910221,-43.1251114,"Niteroi","Assalto a grupo ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2013-07-11","18:00","Centro","Banco"
"24710",247,247,18112,-22.8910221,-43.1251114,"Niteroi","Assalto a grupo ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2013-07-11","18:00","Centro","Banco"
"24711",247,247,18112,-22.8910221,-43.1251114,"Niteroi","Assalto a grupo ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2013-07-11","18:00","Centro","Loja de Eletronicos"
"24712",247,247,18112,-22.8910221,-43.1251114,"Niteroi","Assalto a grupo ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2013-07-11","18:00","Centro","Loja de Eletronicos"
"24713",247,247,18112,-22.8910221,-43.1251114,"Niteroi","Assalto a grupo ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2013-07-11","18:00","Centro","Ponto Turistico"
"24714",247,247,18112,-22.8910221,-43.1251114,"Niteroi","Assalto a grupo ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2013-07-11","18:00","Centro","Banco"
"24715",247,247,18112,-22.8910221,-43.1251114,"Niteroi","Assalto a grupo ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2013-07-11","18:00","Centro","Banco"
"24716",247,247,18112,-22.8910221,-43.1251114,"Niteroi","Assalto a grupo ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2013-07-11","18:00","Centro","Banco"
"24717",247,247,18112,-22.8910221,-43.1251114,"Niteroi","Assalto a grupo ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2013-07-11","18:00","Centro","Banco"
"24718",247,247,18112,-22.8910221,-43.1251114,"Niteroi","Assalto a grupo ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2013-07-11","18:00","Centro","Banco"
"24719",247,247,18112,-22.8910221,-43.1251114,"Niteroi","Assalto a grupo ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2013-07-11","18:00","Centro","Banco"
"24720",247,247,18112,-22.8910221,-43.1251114,"Niteroi","Assalto a grupo ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2013-07-11","18:00","Centro","Banco"
"24721",247,247,18112,-22.8910221,-43.1251114,"Niteroi","Assalto a grupo ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2013-07-11","18:00","Centro","Banco"
"24722",247,247,18112,-22.8910221,-43.1251114,"Niteroi","Assalto a grupo ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2013-07-11","18:00","Centro","Ponto Turistico"
"24723",247,247,18112,-22.8910221,-43.1251114,"Niteroi","Assalto a grupo ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2013-07-11","18:00","Centro","Ponto Turistico"
"24724",247,247,18112,-22.8910221,-43.1251114,"Niteroi","Assalto a grupo ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2013-07-11","18:00","Centro","Escola"
"24725",247,247,18112,-22.8910221,-43.1251114,"Niteroi","Assalto a grupo ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2013-07-11","18:00","Centro","Bar"
"248",248,248,18116,-22.8915571,-43.1140112,"Niteroi","Arrombamento Veicular ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014-04-21","17:00","Centro","Universidade"
"2481",248,248,18116,-22.8915571,-43.1140112,"Niteroi","Arrombamento Veicular ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014-04-21","17:00","Centro","Escola"
"2482",248,248,18116,-22.8915571,-43.1140112,"Niteroi","Arrombamento Veicular ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014-04-21","17:00","Centro","Policia Civil"
"249",249,249,18119,-22.8898314,-43.1217052,"Niteroi","Assalto a grupo ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014-04-21","14:30","Centro","Quiosque"
"2491",249,249,18119,-22.8898314,-43.1217052,"Niteroi","Assalto a grupo ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014-04-21","14:30","Centro","Restaurante"
"2492",249,249,18119,-22.8898314,-43.1217052,"Niteroi","Assalto a grupo ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014-04-21","14:30","Centro","Loja de Eletronicos"
